plan_order,wave,wave_name,batch,batch_name,chunk,risk,review_index,date,short_sha,sha,subject,rationale,top_dirs,files_changed,goal,validation,commit_url
1,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,60,2026-03-04,aeedcf3353,aeedcf33534adc786614244027f11934dc0ae6e9,Enable password reset from app.twenty.com with workspace fallback (#18271),security or auth hardening,"packages/twenty-front (7), packages/twenty-server (7)",14,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/aeedcf33534adc786614244027f11934dc0ae6e9
2,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,88,2026-03-05,38ad0820c0,38ad0820c0fd95bd3db1f4fd4823cbd5757af7d0,Fix server logs leak (#18423),security or auth hardening,packages/twenty-server (31),31,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/38ad0820c0fd95bd3db1f4fd4823cbd5757af7d0
3,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,101,2026-03-06,ef003fb929,ef003fb929f2092bdaa8f2b19aa0d1ccd8ef0657,fix blocklist (#18332),security or auth hardening,packages/twenty-server (31),31,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/ef003fb929f2092bdaa8f2b19aa0d1ccd8ef0657
4,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,116,2026-03-06,d825ac06dd,d825ac06ddc82285a66e33d11823b33b82df7431,fix server production build (#18458),security or auth hardening,"packages/twenty-server (1), yarn.lock (1)",2,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/d825ac06ddc82285a66e33d11823b33b82df7431
5,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,154,2026-03-10,05c2da2d0f,05c2da2d0fddddab1997fbaf503b883662fb496a,Improve SSRF IP validation and add protocol allowlist (#18518),security or auth hardening,packages/twenty-server (5),5,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/05c2da2d0fddddab1997fbaf503b883662fb496a
6,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,190,2026-03-11,d9b3507866,d9b3507866f686ca98277d31f042f74adc8d1f84,Run vulnerable operation in isolated environment (#18523),security or auth hardening,"packages/twenty-server (20), yarn.lock (1)",21,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/d9b3507866f686ca98277d31f042f74adc8d1f84
7,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,194,2026-03-11,f0c83434a7,f0c83434a7eee18a9f9963e6879c55c2088ab76f,feat: default code interpreter and logic function to Disabled in production (#18559),production safety default,"packages/twenty-server (3), packages/twenty-docs (1)",4,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/f0c83434a7eee18a9f9963e6879c55c2088ab76f
8,1,Safety First,1A,Auth and Runtime Hardening,1A-01,high,310,2026-03-18,b1a7c5c4d6,b1a7c5c4d6b5493f7167d6f39ca271feafc3b2c0,Fix null connectedAccount crash in blocklist message deletion job (#18723),security or auth hardening,packages/twenty-server (1),1,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/b1a7c5c4d6b5493f7167d6f39ca271feafc3b2c0
9,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,318,2026-03-18,b6c62b3812,b6c62b38123006525bc8918ae2a863eb550b1901,fix(auth): use dynamic SSE headers and add token renewal retry logic (#18706),auth token renewal fix,packages/twenty-front (5),5,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/b6c62b38123006525bc8918ae2a863eb550b1901
10,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,344,2026-03-20,0a6b514898,0a6b514898c4a9c56c9c229600d30833df2bfd2e,fix: remove redundant cookie write that made tokenPair a session cookie (#18795),core product bug fix,packages/twenty-front (1),1,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/0a6b514898c4a9c56c9c229600d30833df2bfd2e
11,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,378,2026-03-22,1a0588d233,1a0588d233ab921df5bfb5e5c400b88a86308257,fix: auto-retry Microsoft OAuth on AADSTS650051 race condition (#18405),security or auth hardening,packages/twenty-server (6),6,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/1a0588d233ab921df5bfb5e5c400b88a86308257
12,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,400,2026-03-23,6f4f7a1198,6f4f7a1198ef31c9d7a5a1fa11df9c7fa47a2bf7,fix: add security headers to file serving endpoints to prevent stored XSS (#18857),security or auth hardening,packages/twenty-server (7),7,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/6f4f7a1198ef31c9d7a5a1fa11df9c7fa47a2bf7
13,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,463,2026-03-25,bf22373315,bf22373315cbe98c5541d29bfc3fe31c31bc1abe,Fix: use user role for OAuth tokens bearing user context (#18954),security or auth hardening,packages/twenty-server (3),3,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/bf22373315cbe98c5541d29bfc3fe31c31bc1abe
14,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,527,2026-03-27,08077476f3,08077476f331753a02e4ecbaadd343c0c7b47061,fix: remove remaining direct cookie writes that make tokenPair a session cookie on renewal (#19031),core product bug fix,packages/twenty-front (2),2,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/08077476f331753a02e4ecbaadd343c0c7b47061
15,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,658,2026-04-02,2ebff5f4d7,2ebff5f4d7699162de62cf8e6349da68d718bff2,fix: harden token renewal and soften refresh token revocation (#19175),security or auth hardening,"packages/twenty-front (3), packages/twenty-server (2)",5,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/2ebff5f4d7699162de62cf8e6349da68d718bff2
16,1,Safety First,1A,Auth and Runtime Hardening,1A-02,high,692,2026-04-03,c521ba29be,c521ba29bebad020d7393a5f9ddcb8d6d971fbb9,fix: CalDAV sync broken by SSRF hostname replacement (#19291),security or auth hardening,packages/twenty-server (3),3,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/c521ba29bebad020d7393a5f9ddcb8d6d971fbb9
17,1,Safety First,1A,Auth and Runtime Hardening,1A-03,high,708,2026-04-04,8da69e0f77,8da69e0f77ea820a6845a4c3c025b6af3861d523,Fix stored XSS via unsafe URL protocols in href attributes (#19282),core product bug fix,"packages/twenty-front (10), packages/twenty-shared (4), packages/twenty-server (1)",15,Apply security fixes that reduce real production risk.,"Smoke auth, file serving, OAuth, refresh-token renewal, and CalDAV/IMAP flows.",https://github.com/twentyhq/twenty/commit/8da69e0f77ea820a6845a4c3c025b6af3861d523
18,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,263,2026-03-16,e6f1bdd1c8,e6f1bdd1c84ff1485b0b8c63a66680e1e014c79e,fix: yauzl contains an off-by-one error (#18662),security/build hardening,yarn.lock (1),1,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/e6f1bdd1c84ff1485b0b8c63a66680e1e014c79e
19,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,265,2026-03-16,1b20bdaf6d,1b20bdaf6d0b03ccaad7425c10b6bf3bbea941e9,fix: @isaacs/brace-expansion has uncontrolled resource consumption (#18660),security/build hardening,yarn.lock (1),1,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/1b20bdaf6d0b03ccaad7425c10b6bf3bbea941e9
20,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,266,2026-03-16,87c519b72f,87c519b72fb49cd0499414c1c86e94fe69d26d01,fix: multer vulnerable to denial of service via uncontrolled recursion (#18659),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/87c519b72fb49cd0499414c1c86e94fe69d26d01
21,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,268,2026-03-16,2c2f66b584,2c2f66b584c0456a48c14ed10d28def0c655a01d,fix: DOMPurify contains a cross-site scripting vulnerability (#18665),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/2c2f66b584c0456a48c14ed10d28def0c655a01d
22,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,271,2026-03-16,6e36ad9fa2,6e36ad9fa228059fc0be7cc6a96bebc5cd26ed73,fix: mailparser vulnerable to cross-site scripting (#18664),core product bug fix,"packages/twenty-server (1), yarn.lock (1)",2,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/6e36ad9fa228059fc0be7cc6a96bebc5cd26ed73
23,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,613,2026-03-31,36dece43c7,36dece43c735b37d685895d2e48a89f936435bf8,Fix: Upgrade Nodemailer to address SMTP command injection vulnerability (#19151),core product bug fix,"packages/twenty-server (3), package.json (1), yarn.lock (1)",5,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/36dece43c735b37d685895d2e48a89f936435bf8
24,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,688,2026-04-02,2ae6a9bb98,2ae6a9bb98f58b2a825007365e57677036b56fc9,fix: bump handlebars to 4.7.9 (CVE-2026-33937) (#19288),core product bug fix,"packages/twenty-shared (1), yarn.lock (1)",2,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/2ae6a9bb98f58b2a825007365e57677036b56fc9
25,1,Safety First,1B,Dependency Vulnerabilities,1B-01,high,734,2026-04-07,8c9228cb2b,8c9228cb2b5f26dca08f54d0007c6c7e8937d202,fix: SVGO DoS through entity expansion in DOCTYPE (#19359),security/build hardening,yarn.lock (1),1,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/8c9228cb2b5f26dca08f54d0007c6c7e8937d202
26,1,Safety First,1B,Dependency Vulnerabilities,1B-02,high,735,2026-04-07,68cd2f6d61,68cd2f6d611111a44ec98870dbfffeb3bbc343af,fix: node-tar symlink path traversal via drive-relative linkpath (#19360),security or auth hardening,"packages/twenty-server (2), yarn.lock (1)",3,"Close known parser, XSS, and path-traversal issues with isolated dependency fixes.","Apply this batch together, regenerate yarn.lock with install, then run build and a short auth/file smoke test.",https://github.com/twentyhq/twenty/commit/68cd2f6d611111a44ec98870dbfffeb3bbc343af
27,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,65,2026-03-05,4c001778c2,4c001778c2ac48847c4215bde8ba152da81600a9,fix google signup edge case (#18365),core product bug fix,"packages/twenty-server (8), yarn.lock (1)",9,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/4c001778c2ac48847c4215bde8ba152da81600a9
28,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,206,2026-03-12,b21fb4aa6f,b21fb4aa6f1192fa5ac7a12b1ba65c8a4d7d4f2e,Fix PDF Upload edge case (#18533),core product bug fix,"packages/twenty-server (6), yarn.lock (1)",7,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b21fb4aa6f1192fa5ac7a12b1ba65c8a4d7d4f2e
29,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,278,2026-03-16,cb4efb1d0e,cb4efb1d0ed2d91526dc4d01c6baf66106181161,fix: respect standard object rename across all locales (Closes #18650) (#18652),core product bug fix,packages/twenty-server (2),2,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/cb4efb1d0ed2d91526dc4d01c6baf66106181161
30,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,280,2026-03-16,b6b96be603,b6b96be60322a6d5ef02936cd7171076ebd46a13,Fix custom object view fields creation (#18629),core product bug fix,packages/twenty-server (9),9,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/b6b96be60322a6d5ef02936cd7171076ebd46a13
31,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,high,294,2026-03-17,3204175065,320417506586d28c138a34b992b3698eb2c6de84,[FIx]: using the dynamic {objectLabelPlural} instead of hardcoded name (#18700),core app change worth pulling,packages/twenty-server (28),28,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/320417506586d28c138a34b992b3698eb2c6de84
32,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,307,2026-03-18,0ae62898a3,0ae62898a39ddeec0d4dafb4cb05861ff56ff3fa,fix: restructure navigationMenuItem type migration for safe upgrade path (#18722),core product bug fix,packages/twenty-server (7),7,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/0ae62898a39ddeec0d4dafb4cb05861ff56ff3fa
33,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,337,2026-03-19,02bfebccc2,02bfebccc26f7a13b11c0787bce13f4e2945e70a,Fix: cascade delete favorite folder children on backend (#18765),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/02bfebccc26f7a13b11c0787bce13f4e2945e70a
34,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,361,2026-03-20,732aea9121,732aea9121fec3430be3ff1ceeec03f6c46f9326,fix: restore original migration timestamp for messaging infrastructure (#18810),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/732aea9121fec3430be3ff1ceeec03f6c46f9326
35,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,391,2026-03-23,49af539032,49af5390323cbb029465bce2ea992f6b51c3d960,Fix migration crash: agent.modelId NOT NULL violation (#18844),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/49af5390323cbb029465bce2ea992f6b51c3d960
36,2,Backend Correctness,2A,Server and Runtime Fixes,2A-01,medium,408,2026-03-23,708e53d829,708e53d829a1f9e0bcf964f7cc4537feed1d83dd,Fix multi-select option removal crashing when records contain removed values (#18871),core product bug fix,packages/twenty-server (2),2,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/708e53d829a1f9e0bcf964f7cc4537feed1d83dd
37,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,423,2026-03-24,7a1780e415,7a1780e415fbac2db3b108c1431d1368fae3aaa4,Fix duplicate views creation in command (#18900),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/7a1780e415fbac2db3b108c1431d1368fae3aaa4
38,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,458,2026-03-25,3295f5ee07,3295f5ee0739fea6a1f3cbac28e2c89ae977eb2e,fix logo upload during workspace onboarding (#18905),core product bug fix,packages/twenty-server (2),2,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/3295f5ee0739fea6a1f3cbac28e2c89ae977eb2e
39,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,508,2026-03-26,ec5ab2b84a,ec5ab2b84a7cd3f642406aba628b46d3332f7a34,Fix format result (#18975),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ec5ab2b84a7cd3f642406aba628b46d3332f7a34
40,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,high,578,2026-03-30,ecf8161d0e,ecf8161d0ea40c3846a3c190cb0f185916e835bc,Fix - Remove signFileUrl method (#19121),core product bug fix,packages/twenty-server (20),20,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ecf8161d0ea40c3846a3c190cb0f185916e835bc
41,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,580,2026-03-30,ca00e8dece,ca00e8dece37dfdcd7901df992262dd40a2427fb,Fix databaseSchema migration (#19132),core product bug fix,packages/twenty-server (1),1,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/ca00e8dece37dfdcd7901df992262dd40a2427fb
42,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,595,2026-03-31,d10c0a6439,d10c0a643984ed653663c56ad41915fbbe92c56b,Fix: composite update events not received (#19053),core product bug fix,packages/twenty-server (6),6,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/d10c0a643984ed653663c56ad41915fbbe92c56b
43,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,663,2026-04-02,6ae5900ac9,6ae5900ac9ee8e757ba708514feed0ad515fda61,Fix field permission validation rejecting undefined optional fields (#19243),core product bug fix,packages/twenty-server (3),3,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6ae5900ac9ee8e757ba708514feed0ad515fda61
44,2,Backend Correctness,2A,Server and Runtime Fixes,2A-02,medium,672,2026-04-02,6f3a86c4a9,6f3a86c4a97ebceb3155aefa7e510cf874f45569,Fix insert conflict between field permission and RLS (#19244),core product bug fix,packages/twenty-server (3),3,Pull backend fixes that improve correctness without changing product scope.,"Smoke server boot, uploads, object metadata, permissions, and export paths.",https://github.com/twentyhq/twenty/commit/6f3a86c4a97ebceb3155aefa7e510cf874f45569
